Timestamp,F1_415nm,F2_445nm,F3_480nm,F4_515nm,F5_555nm,F6_590nm,F7_630nm,F8_680nm
2025-07-30 18:04:29,0.00,1.00,0.38,1.17,7.28,3.93,1.00,2.00
2025-07-30 18:05:29,0.00,1.00,0.21,1.03,6.45,4.00,1.00,1.10
2025-07-30 18:06:29,0.00,0.97,0.17,1.00,6.41,4.00,1.00,1.07
2025-07-30 18:07:29,0.00,0.86,0.07,1.00,6.38,3.93,1.00,1.00
2025-07-30 18:08:29,0.00,1.00,1.00,1.10,7.72,3.93,1.00,1.97
2025-07-30 18:09:29,0.00,0.00,0.00,0.03,3.69,2.07,0.00,1.00
2025-07-30 18:10:29,0.00,0.00,0.00,0.25,3.89,2.93,0.00,1.00
2025-07-30 18:11:29,0.00,0.04,0.00,0.14,4.36,2.00,0.04,1.00
2025-07-30 18:12:29,0.00,0.66,0.00,0.21,5.24,3.31,1.00,1.00
2025-07-30 18:13:29,0.00,0.31,0.00,0.21,5.45,2.21,1.00,1.00
2025-07-30 18:14:29,0.00,0.31,0.00,0.07,4.93,2.00,0.86,1.00
2025-07-30 18:15:29,0.00,1.00,0.25,1.07,6.21,3.29,1.00,1.00
2025-07-30 18:16:29,0.04,1.00,0.50,1.14,6.64,3.50,1.00,1.07
2025-07-30 18:17:29,0.00,0.00,0.00,0.21,2.25,1.93,0.00,0.04
2025-07-30 18:18:29,0.00,0.00,0.00,0.14,1.55,2.00,0.00,0.07
2025-07-30 18:19:29,0.00,0.00,0.00,0.10,2.41,2.00,0.00,0.59
2025-07-30 18:20:29,1.03,4.00,4.03,9.48,52.03,5.93,17.07,27.97
2025-07-30 18:21:29,0.00,0.00,0.00,0.00,0.39,0.64,0.00,0.00
2025-07-30 18:22:29,0.03,0.72,0.66,0.90,6.59,3.31,0.76,1.41
2025-07-30 18:23:29,0.00,0.48,0.24,0.55,4.38,2.97,0.52,0.69
2025-07-30 18:24:29,27.45,45.52,59.03,67.97,327.21,157.93,68.07,65.38
2025-07-30 18:25:29,26.59,45.59,59.72,68.34,313.69,136.86,68.31,64.52
2025-07-30 18:26:29,15.72,26.24,34.31,39.90,198.17,100.93,40.14,38.41
2025-07-30 18:27:29,8.48,14.41,18.17,21.72,120.72,70.00,22.90,21.97
2025-07-30 18:28:29,15.34,25.38,32.93,37.48,185.21,90.34,37.38,35.66
2025-07-30 18:29:29,16.57,27.89,36.00,40.50,198.29,96.61,40.11,37.79
2025-07-30 18:30:29,24.93,42.00,54.68,62.18,303.46,142.39,61.96,58.71
2025-07-30 18:31:29,24.14,39.45,50.69,59.38,311.62,173.48,59.59,55.97
2025-07-30 18:32:29,36.79,62.59,81.17,91.90,450.59,217.59,89.66,83.83
2025-07-30 18:33:29,35.29,60.50,79.43,90.64,439.04,211.54,88.89,82.86
2025-07-30 18:34:29,20.55,32.90,42.00,49.17,275.90,161.72,49.62,47.97
2025-07-30 18:35:29,34.75,59.79,78.11,89.14,430.07,200.96,86.64,81.32
2025-07-30 18:36:29,21.54,34.75,44.82,52.29,289.75,167.46,52.50,50.18
2025-07-30 18:37:29,35.54,61.14,80.57,91.04,438.61,205.89,88.32,82.43
2025-07-30 18:38:29,22.18,36.71,47.57,54.68,284.71,155.00,53.75,50.43
2025-07-30 18:39:29,23.25,38.79,50.39,57.04,286.46,144.71,55.50,51.96
2025-07-30 18:40:29,14.29,22.82,29.79,34.89,199.29,119.43,35.21,34.46
2025-07-30 18:41:29,11.21,18.68,24.18,27.29,146.25,83.75,26.43,24.75
2025-07-30 18:42:29,10.07,16.38,20.72,24.21,141.38,89.00,24.14,23.00
2025-07-30 18:43:29,9.18,15.71,20.50,23.18,118.18,62.11,22.61,21.07
2025-07-30 18:44:29,9.69,16.90,22.00,25.14,126.17,62.17,24.79,23.17
2025-07-30 18:45:29,8.45,14.14,18.03,20.62,115.93,69.62,19.90,19.14
2025-07-30 18:46:29,0.00,0.21,0.17,0.21,3.79,3.17,0.17,0.45
